Symbol,Name,AUM,Avg Volume
SPY,SPDR S&P 500 ETF,"$247,580,985.65 ","120,574,227"
IVV,iShares Core S&P 500 ETF,"$139,121,481.36 ","5,698,268"
VTI,Vanguard Total Stock Market ETF,"$91,505,916.29 ","3,432,177"
VOO,Vanguard S&P 500 ETF,"$85,699,100.20 ","3,569,192"
EFA,iShares MSCI EAFE ETF,"$76,975,670.37 ","30,533,678"
VEA,Vanguard FTSE Developed Markets ETF,"$70,169,069.94 ","11,704,997"
VWO,Vanguard FTSE Emerging Markets ETF,"$68,201,296.21 ","15,893,854"
QQQ,PowerShares QQQ,"$57,968,763.86 ","49,687,188"
IEFA,iShares Core MSCI EAFE ETF,"$55,421,694.87 ","10,352,131"
AGG,iShares Core U.S. Aggregate Bond ETF,"$54,527,035.08 ","4,409,563"
IEMG,iShares Core MSCI Emerging Markets ETF,"$49,815,401.47 ","13,086,692"
IJH,iShares Core S&P Mid-Cap ETF,"$43,838,434.52 ","1,501,377"
EEM,iShares MSCI Emerging Markets ETF,"$42,371,317.24 ","75,884,469"
IWM,iShares Russell 2000 ETF,"$40,531,857.61 ","25,837,143"
IWF,iShares Russell 1000 Growth ETF,"$39,493,157.79 ","2,114,035"
BND,Vanguard Total Bond Market ETF,"$36,734,683.31 ","2,707,690"
GLD,SPDR Gold Trust,"$36,264,084.92 ","8,231,302"
IJR,iShares Core S&P Small-Cap ETF,"$36,134,196.94 ","3,406,437"
IWD,iShares Russell 1000 Value ETF,"$35,892,853.79 ","2,435,173"
VTV,Vanguard Value ETF,"$35,490,965.52 ","1,896,398"
VUG,Vanguard Growth ETF,"$32,254,574.30 ","1,174,279"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$31,985,506.07 ","7,301,165"
XLF,Financial Select Sector SPDR Fund,"$31,711,624.74 ","64,749,609"
VNQ,Vanguard Real Estate Index Fund,"$29,180,053.86 ","7,019,029"
VIG,Vanguard Dividend Appreciation ETF,"$26,924,894.80 ","988,515"
TIP,iShares TIPS Bond ETF,"$24,646,061.99 ","1,748,347"
BSV,Vanguard Short-Term Bond ETF,"$24,414,921.96 ","1,772,347"
VEU,Vanguard FTSE All-World ex-US ETF,"$23,341,231.75 ","2,984,679"
VO,Vanguard Mid-Cap Index ETF,"$22,026,669.48 ","453,210"
VB,Vanguard Small Cap ETF,"$21,588,019.03 ","624,311"
EWJ,iShares MSCI Japan ETF,"$20,990,782.28 ","12,501,784"
DIA,SPDR Dow Jones Industrial Average ETF,"$20,696,653.72 ","6,795,131"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$20,650,437.45 ","1,868,319"
VYM,Vanguard High Dividend Yield ETF,"$20,181,998.95 ","1,130,406"
XLK,Technology Select Sector SPDR Fund,"$20,024,928.47 ","16,379,814"
IVW,iShares S&P 500 Growth ETF,"$19,645,735.64 ","975,505"
MDY,SPDR S&P MidCap 400 ETF,"$19,391,255.11 ","1,353,045"
IWB,iShares Russell 1000 ETF,"$19,090,112.24 ","1,431,619"
VGK,Vanguard FTSE Europe ETF,"$18,699,529.86 ","5,217,172"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$18,587,757.18 ","1,481,984"
VGT,Vanguard Information Technology ETF,"$17,827,542.07 ","814,489"
XLE,Energy Select Sector SPDR Fund,"$17,414,218.61 ","16,274,566"
IWR,iShares Russell Midcap ETF,"$16,781,745.92 ","234,139"
DVY,iShares Select Dividend ETF,"$16,626,563.46 ","906,869"
PFF,iShares U.S. Preferred Stock ETF,"$16,484,704.10 ","2,977,487"
SDY,SPDR S&P Dividend ETF,"$15,301,614.92 ","714,702"
BIV,Vanguard Intermediate-Term Bond ETF,"$15,083,385.56 ","846,105"
XLV,Health Care Select Sector SPDR Fund,"$15,003,780.19 ","10,286,626"
SCHF,Schwab International Equity ETF,"$14,649,674.37 ","2,739,094"
IVE,iShares S&P 500 Value ETF,"$14,540,427.43 ","1,186,253"
RSP,Guggenheim S&P Equal Weight,"$14,394,296.60 ","831,127"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"$14,374,586.94 ","16,503,490"
USMV,iShares Edge MSCI Min Vol USA ETF,"$14,046,489.61 ","2,317,321"
EZU,iShares MSCI EMU ETF,"$14,016,956.14 ","9,325,440"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$12,817,674.80 ","1,247,484"
XLI,Industrial Select Sector SPDR Fund,"$12,765,179.50 ","14,976,201"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$12,616,340.09 ","7,020,360"
VBR,Vanguard Small Cap Value ETF,"$12,599,577.76 ","366,711"
MBB,iShares MBS Bond ETF,"$12,245,401.21 ","741,363"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$12,049,143.85 ","3,094,524"
SHY,iShares 1-3 Year Treasury Bond ETF,"$11,894,005.79 ","1,492,769"
SHV,iShares Short Treasury Bond ETF,"$11,860,406.03 ","1,389,131"
SCHX,Schwab U.S. Large-Cap ETF,"$11,795,324.62 ","1,119,332"
VV,Vanguard Large Cap ETF,"$11,715,782.59 ","432,726"
VT,Vanguard Total World Stock ETF,"$11,710,986.67 ","1,712,045"
IAU,iShares Gold Trust,"$11,548,267.26 ","12,967,384"
SCHB,Schwab U.S. Broad Market ETF,"$11,398,125.01 ","1,035,027"
BNDX,Vanguard Total International Bond ETF,"$11,107,293.22 ","1,456,471"
VXUS,Vanguard Total International Stock ETF,"$11,093,019.94 ","1,078,387"
CSJ,iShares 1-3 Year Credit Bond ETF,"$10,761,695.26 ","539,418"
SCZ,iShares MSCI EAFE Small-Cap ETF,"$10,572,442.29 ","1,308,642"
IWS,iShares Russell Midcap Value ETF,"$10,400,147.49 ","507,887"
IXUS,iShares Core MSCI Total International Stock ETF,"$9,512,735.92 ","706,473"
MUB,iShares National AMT-Free Muni Bond ETF,"$9,175,068.51 ","632,484"
IWO,iShares Russell 2000 Growth ETF,"$9,071,370.42 ","558,406"
JNK,SPDR Barclays High Yield Bond ETF,"$8,956,105.46 ","16,924,609"
EWZ,iShares MSCI Brazil ETF,"$8,884,906.53 ","17,474,098"
IWN,iShares Russell 2000 Value ETF,"$8,774,951.95 ","961,932"
EFAV,iShares Edge MSCI Min Vol EAFE ETF,"$8,706,493.81 ","599,956"
