#BOF,2018.04.04,13:00:02,,,,,
#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
#EOF,12534,,,,,,
A,USD,AGILENT TECHNOLOGIES INC,1715006,XXXXXXXU1016,1.2759,0.4041,>10000000
AA,USD,ALCOA CORP,251962528,XXXXXXX21065,1.2957,0.3843,6800000
AABA,USD,ALTABA INC,278946664,XXXXXXX61017,1.3747,0.3053,>10000000
AABVF,USD,ABERDEEN INTERNATIONAL INC.,60152167,CA0030691012,-13.2664,14.9464,20000
AAC,USD,AAC HOLDINGS INC,169041192,XXXXXXX71083,0.3225,1.3575,400000
AACAY,USD,AAC TECHNOLOGIES H-UNSPON AD,54939868,XXXXXXX41052,-34.4659,36.1459,400
AACS,USD,AMERICAN COMMERCE SOLUTIONS,30207299,XXXXXXX91008,1.43,0.25,2200000
AACTF,USD,AURORA SOLAR TECHNOLOGIES IN,195675323,CA05207J1084,-2.1597,3.8397,5000
AADR,USD,ADVISORSHARES DORSEY WRIGHT,77459165,XXXXXXXY2063,-16.5603,18.2403,2000
AAEH,USD,ALL AMERICAN ENERGY CORP,296051106,XXXXXXXM1018,1.43,0.25,2000
AAGC,USD,ALL AMERICAN GOLD CORP,88362966,XXXXXXXV1026,1.38,0.3,4400000
AAGIY,USD,AIA GROUP LTD-SP ADR,90162715,XXXXXXX72053,-3.5237,5.2037,60000
AAIIQ,USD,ALABAMA AIRCRAFT INDUSTRIES,48014358,XXXXXXXE1001,1.43,0.25,6000
AAIR,USD,AVANTAIR INC,44026574,XXXXXXXT1016,1.43,0.25,20000
AAL,USD,AMERICAN AIRLINES GROUP INC,139673266,XXXXXXXR1023,1.43,0.25,>10000000
AAMC,USD,ALTISOURCE ASSET MANAGEMENT,118834665,VI02153X1080,-6.9163,8.5963,20000
AAME,USD,ATLANTIC AMERICAN CORP,265585,XXXXXXX91008,-1.429,3.109,300000
AAN,USD,AARON'S INC,3630029,XXXXXXX53006,1.43,0.25,8000000
AAOI,USD,APPLIED OPTOELECTRONICS INC,135423662,XXXXXXXU1025,-43.9958,45.6758,40000
AAON,USD,AAON INC,265595,XXXXXXX02069,1.3637,0.3163,1600000
AAP,USD,ADVANCE AUTO PARTS INC,4027,XXXXXXXY1064,1.4288,0.2512,2300000
AAPH,USD,AMERICAN PETRO-HUNTER INC,30207586,XXXXXXX71005,1.38,0.3,55000
AAPJ,USD,AAP INC,95309032,XXXXXXXT1034,1.43,0.25,10000
AAPL,USD,APPLE INC,265598,XXXXXXX31005,1.43,0.25,>10000000
AAPT,USD,ALL AMERICAN PET CO INC,44001811,XXXXXXXF1066,1.38,0.3,>10000000
AASL,USD,AMERICA'S SUPPLIERS INC,242059185,XXXXXXXJ2050,1.43,0.25,3000
AASP,USD,ALL-AMERICAN SPORTPARK INC,30207319,XXXXXXXP1057,1.38,0.3,7000
AAST,USD,ALLIED AMERICAN STEEL CORP,88121627,XXXXXXX71033,1.38,0.3,8000
AAT,USD,AMERICAN ASSETS TRUST INC,82819360,XXXXXXX31047,0.2651,1.4149,1200000
AATV,USD,ADAPTIVE AD SYSTEMS INC,160872878,XXXXXXXA1007,1.38,0.3,800
AAU,USD,ALMADEN MINERALS LTD - B,202212514,CA0202833053,-16.514,18.194,85000
AAV,USD,ADVANTAGE OIL &amp; GAS LTD,61596952,CA00765F1018,0.8897,0.7903,1500000
AAWC,USD,ALEXANDRIA ADVANTAGE WARRANT,180237254,XXXXXXXR1005,1.38,0.3,350000
AAWW,USD,ATLAS AIR WORLDWIDE HOLDINGS,39505341,XXXXXXX42056,1.43,0.25,2000000
AAXJ,USD,ISHARES MSCI ALL COUNTRY ASI,53224215,XXXXXXX81829,0.8237,0.8563,1300000
AAXN,USD,AXON ENTERPRISE INC,272104927,XXXXXXXC1018,1.0813,0.5987,300000
AAXT,USD,AAMAXAN TRANSPORT GROUP INC,46612997,XXXXXXXR3030,1.43,0.25,100
AB,USD,ALLIANCEBERNSTEIN HOLDING LP,38198926,XXXXXXXG1067,-0.4378,2.1178,200000
ABAC,USD,RENMIN TIANLI GROUP INC,295879226,VGG7500A1003,-2.7287,4.4087,8000
ABAX,USD,ABAXIS INC,265611,XXXXXXX71050,0.7436,0.9364,850000
ABB,USD,ABB LTD-SPON ADR,11962137,XXXXXXX52047,0.6602,1.0198,150000
ABBV,USD,ABBVIE INC,118089500,XXXXXXXY1091,1.3682,0.3118,>10000000
ABBY,USD,ABBY INC,166708571,XXXXXXXT3086,1.38,0.3,150000
ABC,USD,AMERISOURCEBERGEN CORP.,1714996,XXXXXXXE1055,1.43,0.25,6900000
ABCB,USD,AMERIS BANCORP,3655373,XXXXXXXK1088,1.4065,0.2735,2400000
ABCCF,USD,ABCANN GLOBAL CORP,285213805,CA00287W1032,-28.7849,30.4649,450000
ABCD,USD,CAMBIUM LEARNING GROUP INC,70857250,XXXXXXXA1079,1.287,0.393,1900000
ABCE,USD,ABCO ENERGY INC,262293009,XXXXXXXV2043,1.38,0.3,350000
ABCFF,USD,ABACUS MINING &amp; EXPLORATION,274710751,CA0025555065,-0.2725,1.9525,75000
ABCP,USD,AMBASE CORP,30207592,XXXXXXX41061,-0.6674,2.3474,75000
ABDC,USD,ALCENTRA CAPITAL CORP,150975074,XXXXXXXT1025,-8.6129,10.2929,100000
ABE,USD,ABERDEEN EMERGING MARKETS SM,74242868,XXXXXXXT1025,-4.8537,6.5337,350000
ABEO,USD,ABEONA THERAPEUTICS INC,197341060,XXXXXXXY1073,-2.4412,4.1212,150000
ABEV,USD,AMBEV SA-ADR,137736417,XXXXXXXV1035,1.3292,0.3508,>10000000
ABG,USD,ASBURY AUTOMOTIVE GROUP,14680959,XXXXXXX61046,1.4148,0.2652,950000
ABHD,USD,ABTECH HOLDINGS INC,76269029,XXXXXXXH1086,1.38,0.3,150000
ABIO,USD,ARCA BIOPHARMA INC,205843537,XXXXXXXY4070,-1.8079,3.4879,65000
ABLT,USD,AMERICAN BILTRITE INC,108509834,XXXXXXX14066,1.43,0.25,700
ABLX,USD,ABLYNX NV - SPONSORED ADR,293793030,XXXXXXXY1055,-0.5565,2.2365,100000
ABM,USD,ABM INDUSTRIES INC,4050,XXXXXXX71003,1.43,0.25,2700000
ABMBF,USD,ABCOURT MINES INC -CL B,47525921,CA00288E3005,1.43,0.25,60000
ABMC,USD,AMERICAN BIO MEDICA CORP,4725711,XXXXXXX01087,0.0064,1.6736,3400000
ABMD,USD,ABIOMED INC,265655,XXXXXXX41003,1.43,0.25,1200000
ABNAF,USD,ABEN RESOURCES LTD,203013658,CA00289T3064,1.43,0.25,5000
ABNK,USD,ALTAPACIFIC BANCORP,80946645,XXXXXXXH1041,-0.1802,1.8602,20000
ABPA,USD,ALLEGIANCE BANK OF NORTH AME,32932679,XXXXXXXV2060,1.43,0.25,70000
ABPR,USD,AIRBORNE SECURITY &amp; PROTECTI,75736689,XXXXXXXQ1022,1.43,0.25,2100000
ABR,USD,ARBOR REALTY TRUST INC,29661257,XXXXXXX31087,0.4795,1.2005,400000
ABR PRA,USD,ARBOR REALTY TRUST INC,121864398,XXXXXXX36037,-3.4561,5.1361,20000
ABR PRB,USD,ARBOR REALTY TRUST INC,127639468,XXXXXXX37027,-0.4699,2.1499,10000
ABR PRC,USD,ARBOR REALTY TRUST CUM REDEEMABLE P,145409783,XXXXXXX38017,-1.1763,2.8563,15000
ABRN CL,USD,"ARBOR REALTY TRUST, INC",151369670,XXXXXXX38843,-0.2339,1.9139,50000
ABRTY,USD,ABERTIS INFRAESTR-UNSPON ADR,56524950,XXXXXXX11003,-0.2761,1.9561,8000
ABT,USD,ABBOTT LABORATORIES .,4065,XXXXXXX41000,1.4191,0.2609,>10000000
ABTO,USD,AB&amp;T FINANCIAL CORP,53634840,XXXXXXXW1062,1.43,0.25,1000
ABTX,USD,ALLEGIANCE BANCSHARES INC,209048380,XXXXXXXH1077,1.4115,0.2685,150000
ABTZY,USD,ABOITIZ EQUITY VENTURES-ADR,108065286,XXXXXXX53061,1.43,0.25,100
ABUS,USD,ARBUTUS BIOPHARMA CORP,202009938,CA03879J1003,0.1948,1.4852,1000000
ABWN,USD,AIRBORNE WIRELESS NETWORK,238389522,XXXXXXXL1026,-100.2951,101.9751,250000
ABX,USD,BARRICK GOLD CORP,611060,CA0679011084,1.3455,0.3345,>10000000
AC,USD,ASSOCIATED CAPITAL GROUP - A,211726414,XXXXXXX81065,-1.0105,2.6905,35000
ACAD,USD,ACADIA PHARMACEUTICALS INC,29308796,XXXXXXX51084,1.2004,0.4796,450000
ACAN,USD,AMERICANN INC,165012035,XXXXXXX81072,-9.4787,11.1587,7000
